artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
FLING,Best Friend,3fR9yGtnxUPMF4fpVVp347,15,0.455,0.595,2,-8.012,1,0.0258,0.000304,0.153,0.195,77.16,204600,4
Indigo Eyes,Forbidden,3lfZfR2yw8QwD96OtIgxYN,35,0.4,0.493,7,-9.732,1,0.132,0.114,0.0792,0.116,83.061,183000,4
Thunder Jackson,Let It Roll In,7qttmnk2aNs1P6H6Y3rEKX,26,0.68,0.572,11,-5.164,1,0.0313,0.000102,0.0989,0.214,140.043,238938,4
Plants and Animals,Love That Boy,3HChMC25vomaAsHsrmMHck,36,0.684,0.751,8,-7.405,0,0.0229,0.322,0.0996,0.847,101.523,224507,4
Sirens Of Lesbos,Pala,4GnihbeTbQabc4N2GUbB90,41,0.585,0.651,7,-11.924,1,0.0354,0.00136,0.1,0.613,160.955,188255,4
Richard Orofino,i heard you were looking like the moon,4Yw8XKDrmJSMNFqvd8JZJ6,17,0.343,0.324,4,-13.33,1,0.031,0.0224,0.117,0.133,145.996,223125,4
Peach Pit,Psychics in LA,5tsB5ROYUKKisUaJQIEEfv,53,0.328,0.849,1,-5.02,0,0.052,1.33e-05,0.232,0.624,132.047,206733,3
Lyrah,Slow Down,61vgJ4jjOhqQKywXEJgedC,24,0.596,0.235,3,-10.316,0,0.0362,0.0001,0.106,0.173,83.04,192062,4
Cero Ismael,Missing Out,0pxYbh4Uf73JXJ0qqEinBh,37,0.741,0.331,11,-9.542,0,0.163,0.0,0.16,0.575,103.869,161558,4
Skylar Grey,Fucking Crazy,12O4Q1ZMuAWzxQS7fLiGgr,47,0.265,0.233,3,-13.039,1,0.0273,0.00012,0.114,0.083,88.862,189512,4
Saint Clair,elegy in c,7hDysdmbcua9MxfoOoaPPk,11,0.657,0.469,0,-12.107,1,0.047,0.000139,0.357,0.307,119.984,276000,4
Adrianne Lenker,dragon eyes,2ekbbIo2pkeqHkXsGPk8G8,48,0.489,0.204,9,-17.264,1,0.0427,9.35e-05,0.123,0.508,166.842,206434,4
CRi,Signal,781SNFn2D2ifFxUtkwYLdw,35,0.64,0.545,2,-10.049,1,0.0301,0.0602,0.0972,0.244,104.984,244267,4
Wallows,Virtual Aerobics,1fpGZJnHXFEbq8UIWIKmHH,65,0.775,0.55,9,-3.765,1,0.0345,0.0,0.0434,0.72,109.952,122333,4
Malvae,Slash & Burn,6h8n6zwpt4J3mS8j5c8EQQ,28,0.549,0.618,6,-11.37,0,0.101,0.139,0.13,0.319,102.035,288534,4
IYAMAH,KYWK,1q69yEnmc6Zobcj3IuddGa,39,0.617,0.506,9,-6.835,0,0.322,0.0,0.122,0.166,78.749,167368,4
Suzi Wu,Eat Them Apples,5cCrDKEfAvOK1zczpk5y2S,31,0.781,0.442,1,-11.079,1,0.0387,0.618,0.0759,0.0891,110.03,177590,4
Greta Jaime,Exit Signs,44OpWu4nxW8DrsqyxuVI7w,18,0.561,0.505,11,-6.244,0,0.0314,0.0,0.301,0.191,97.858,211667,4
Pastel,Caninha Love,4DEUQ1YbLnU0lqcSW7I9Rb,27,0.793,0.67,10,-8.061,0,0.076,0.755,0.149,0.34,106.026,172075,4
Elina,Remember,5x2kt6LCe6a2ePj3sb7IV2,49,0.587,0.316,5,-13.515,1,0.03,0.000588,0.368,0.402,144.047,194593,4
Bluebiird,I Say a Little Prayer,3CTurs1tXBSPzilegfBBkd,25,0.748,0.456,9,-7.891,0,0.0262,0.0,0.224,0.377,100.012,192341,4
Chymes,Worship,0RU57RTiECAfVGWpgU3FZa,27,0.797,0.394,6,-8.484,0,0.0511,1.13e-05,0.103,0.624,143.929,181500,4
Amilli,Kinky Looks,5NHGMzGvAmWYD0ULkuCWXY,29,0.425,0.358,8,-7.537,0,0.0354,1.1e-06,0.126,0.223,98.99,199697,3
Winona Oak,Piano In The Sky,5nCrHjb9e3zWDL6Svvxxwl,55,0.5,0.28,7,-10.764,0,0.0404,2.6e-06,0.102,0.0832,92.457,190253,4
Nick Wilson,Built For This,7vA2Np8N7Yu1KfTQ43oLwF,40,0.528,0.402,2,-7.604,1,0.0554,0.0,0.23,0.497,89.886,155806,4
Lucian,Fools,6OUbGWzqJuCI6xBq6RqhSi,36,0.548,0.526,10,-6.592,0,0.0685,0.235,0.317,0.314,164.987,181240,4
Cosha,No Kink in the Wire,50gS4mK4dafGDtNrAbj9Sz,30,0.674,0.666,0,-10.628,1,0.0732,0.218,0.103,0.602,91.936,330002,4
Sean Nicholas Savage,Years From Tonight,2m5jxTc8QMPFvq9J5lFXd9,32,0.241,0.203,4,-11.833,1,0.0308,0.0,0.122,0.196,164.092,219936,5
LeyeT,One Love,7sFmtcdp8hJoSBdxaRpuhw,11,0.461,0.161,11,-10.001,1,0.033,0.0,0.0864,0.55,80.231,151313,4
Scarlet Pleasure,Thunder,6qCheVIWD2ORY01tan4da5,35,0.78,0.745,2,-5.969,0,0.0941,1.23e-06,0.173,0.763,171.984,168585,4
Teflon Sega,Used,74oGnbl5l7oVsuMtZiAD2l,35,0.506,0.467,11,-9.546,1,0.034,0.0,0.119,0.0451,82.069,234146,4
Foley,Rendezvous,3PReGhB0VqBcjqTpRrWdF2,35,0.745,0.577,11,-6.282,0,0.0975,0.000431,0.101,0.694,109.974,192836,4
Hether,Twinkle,2Eqbp4tBXu1E4QT6DB9JjR,48,0.663,0.459,8,-9.143,1,0.0365,0.456,0.109,0.426,140.166,194398,4
